        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 2.26000000e+02,        +1.944839721047e-13,        +1.794227899395e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.923278181035e-13,        +1.775039703240e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.150402539971e-13,        +1.559356423346e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.111837768625e-13,        +1.560111567834e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.31000000e+02,        +1.941144635300e-13,        +1.801441364170e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.919933566328e-13,        +1.781621415601e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.154681837373e-13,        +1.556881387901e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.115868975547e-13,        +1.557823755654e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.36000000e+02,        +1.937376716049e-13,        +1.808773356324e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.916524359725e-13,        +1.788316299911e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.158990040841e-13,        +1.554376528576e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.119931564394e-13,        +1.555512001861e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.41000000e+02,        +1.933536716560e-13,        +1.816219552049e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.913051322078e-13,        +1.795120627418e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163323826359e-13,        +1.551841617358e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.124022650303e-13,        +1.553176216355e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.46000000e+02,        +1.929625464416e-13,        +1.823775643681e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.909515284255e-13,        +1.802030695712e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167679848287e-13,        +1.549276512372e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.128139331699e-13,        +1.550816392063e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.51000000e+02,        +1.925643865337e-13,        +1.831437337917e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.905917150832e-13,        +1.809042826600e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.172054743296e-13,        +1.546681155381e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.132278693918e-13,        +1.548432601955e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.56000000e+02,        +1.921592907180e-13,        +1.839200355093e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.902257903980e-13,        +1.816153365019e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.176445134440e-13,        +1.544055570027e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.136437812955e-13,        +1.546024996788e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.61000000e+02,        +1.917473664142e-13,        +1.847060429499e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.898538607588e-13,        +1.823358678926e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.180847635381e-13,        +1.541399860672e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.140613759325e-13,        +1.543593803445e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.66000000e+02,        +1.913287301199e-13,        +1.855013310717e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.894760411622e-13,        +1.830655160157e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.185258854773e-13,        +1.538714211681e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.144803602086e-13,        +1.541139323719e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.71000000e+02,        +1.909035078784e-13,        +1.863054765979e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.890924556762e-13,        +1.838039226239e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.189675400822e-13,        +1.535998886997e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.149004413003e-13,        +1.538661933423e-13,        +0.000000000000e+00,        +0.000000000000e+00
